Grapheme	IPA	BIPA	CLTS_Name
3`	ɝ	ɜ˞	rhotacized_unrounded_open-mid_central_vowel
;	ʲ	◌ʲ	NULL
A	ɑ	ɑ	unrounded_open_back_vowel
%	ˌ	◌ˌ	NULL
Z	ʒ	ʒ	voiced_post-alveolar_sibilant_fricative_consonant
t_s\	ʨ	tɕ	voiceless_alveolo-palatal_sibilant_affricate_consonant
d_<	ɗ	ɗ	voiced_dental_implosive_consonant
_$&	ᵆ	◌ᵆ	NULL
_$z`	ᶼ	◌ᶼ	NULL
$_O	˒	◌˒	NULL
_$c	ᶜ	◌ᶜ	NULL
3\	ɞ	ɞ	rounded_open-mid_central_vowel
_c	̜	◌̜	NULL
P\	ʘ	ʘ	voiceless_labial_click_consonant
Err:509	ǂ	ǂ	voiceless_palatal_click_consonant
_$R	ʶ	◌ʶ	NULL
_$I	ᶦ	◌ᶦ	NULL
l_e	ɫ	lˠ	velarized_voiced_alveolar_lateral_approximant_consonant
_$g\	ᶢ	◌ᶢ	NULL
h	h	h	voiceless_glottal_fricative_consonant
l_G	ɫ	lˠ	velarized_voiced_alveolar_lateral_approximant_consonant
ts`	t͡ʂ	ʈʂ	voiceless_retroflex_sibilant_affricate_consonant
_w[?]	ʷ	◌ʷ	NULL
n	n	n	voiced_alveolar_nasal_consonant
}	ʉ	ʉ	rounded_close_central_vowel
i	i	i	unrounded_close_front_vowel
@\\	ɘ	ɘ	unrounded_close-mid_central_vowel
G\\_<	ʛ	ʛ	voiced_uvular_implosive_consonant
ls	ʪ	◌ʪ	NULL
tS	ʧ	tʃ	voiceless_post-alveolar_sibilant_affricate_consonant
²	²	²	short_from-mid-low_tone
 	 	◌ 	NULL
xx[?]	ʭ	◌ʭ	NULL
^4	⁴	⁴	short_from-mid-high_tone
ww[?]	ʬ	◌ʬ	NULL
s	s	s	voiceless_alveolar_sibilant_fricative_consonant
dz\	ʥ	dʑ	voiced_alveolo-palatal_sibilant_affricate_consonant
ɨ	ɨ	ɨ	unrounded_close_central_vowel
*\@	→ə	◌→ə	NULL
=\	ǂ	ǂ	voiceless_palatal_click_consonant
t	t	t	voiceless_alveolar_stop_consonant
>	‿	◌‿	NULL
O\[?]	ʘ	ʘ	voiceless_labial_click_consonant
\'	ʲ	◌ʲ	NULL
l	l	l	voiced_alveolar_lateral_approximant_consonant
o	o	o	rounded_close-mid_back_vowel
b	b	b	voiced_bilabial_stop_consonant
x	x	x	voiceless_velar_fricative_consonant
tz\	ʨ	tɕ	voiceless_alveolo-palatal_sibilant_affricate_consonant
p	p	p	voiceless_bilabial_stop_consonant
k	k	k	voiceless_velar_stop_consonant
y	y	y	rounded_close_front_vowel
k_p	k͡p	kp	from_voiceless_velar_stop_to_voiceless_bilabial_stop_cluster
³	³	³	short_from-mid_tone
j	j	j	voiced_palatal_approximant_consonant
|	ǀ	ǀ	voiceless_dental_click_consonant
l_R	ɭ	ɭ	voiced_retroflex_lateral_approximant_consonant
p_f	p͡f	pf	voiceless_labio-dental_affricate_consonant
*	͡	◌͡	NULL
tc\	ʨ	tɕ	voiceless_alveolo-palatal_sibilant_affricate_consonant
r	r	r	voiced_alveolar_trill_consonant
z	z	z	voiced_alveolar_sibilant_fricative_consonant
⁴	⁴	⁴	short_from-mid-high_tone
<	‿	◌‿	NULL
c	c	c	voiceless_palatal_stop_consonant
S_w	ʃ	ʃ	voiceless_post-alveolar_sibilant_fricative_consonant
x\[?]	ɧ	ɧ	voiceless_palatal-velar_fricative_consonant
j\\	ʝ	ʝ	voiced_palatal_fricative_consonant
d	d	d	voiced_alveolar_stop_consonant
q	q	q	voiceless_uvular_stop_consonant
^5	⁵	⁵	short_from-high_tone
f	f	f	voiceless_labio-dental_fricative_consonant
e	e	e	unrounded_close-mid_front_vowel
^2	²	²	short_from-mid-low_tone
^3	³	³	short_from-mid_tone
m	m	m	voiced_bilabial_nasal_consonant
.	.	◌.	NULL
u	u	u	rounded_close_back_vowel
a	a	a	unrounded_open_front_vowel
g	ɡ	g	voiced_velar_stop_consonant
v	v	v	voiced_labio-dental_fricative_consonant
⁵	⁵	⁵	short_from-high_tone
fN	ʩ	◌ʩ	NULL
ø	ø	ø	rounded_close-mid_front_vowel
⁰	⁰	⁰	short_neutral_tone
^1	¹	¹	short_from-low_tone
w	ʋ	ʋ	voiced_labio-dental_approximant_consonant
ts	ʦ	ts	voiceless_alveolar_sibilant_affricate_consonant
lz	ʫ	◌ʫ	NULL
¹	¹	¹	short_from-low_tone
dZ	ʤ	dʒ	voiced_post-alveolar_sibilant_affricate_consonant
dz	ʣ	dz	voiced_alveolar_sibilant_affricate_consonant
G\R	ɢʁ	ɢʁ	voiced_uvular_affricate_consonant
t_d_w_$h	t̪ʷʰ	t̪ʷʰ	labialized_aspirated_voiceless_dental_stop_consonant
E~:	ɛ̃ː	ɛ̃ː	long_nasalized_unrounded_open-mid_front_vowel
N_0!\!\	ŋ̊ǃǃ	ŋ̊ǃǃ	devoiced_voiced_retroflex_nasal-click_consonant
e~:	ẽː	ẽː	long_nasalized_unrounded_close-mid_front_vowel
t_d_$h:	t̪ʰː	t̪ʰː	aspirated_long_voiceless_dental_stop_consonant
^4^5^4	⁴⁵⁴	⁴⁵⁴	contour_from-mid-high_via-high_to-mid-high_tone
pf	pf	pf	voiceless_labio-dental_affricate_consonant
t_N	t̼	t̼	voiceless_linguolabial_stop_consonant
t_d_$G	t̪ˠ	t̪ˠ	velarized_voiceless_dental_stop_consonant
K_N	ɬ̼	ɬ̼	voiceless_linguolabial_lateral_fricative_consonant
ts_>	tsʼ	tsʼ	voiceless_alveolar_ejective_sibilant_affricate_consonant
m_$G	mˠ	mˠ	velarized_voiced_bilabial_nasal_consonant
t_w_$h	tʷʰ	tʷʰ	labialized_aspirated_voiceless_alveolar_stop_consonant
L0	ʎ̥	ʎ̥	devoiced_voiced_palatal_lateral_approximant_consonant
U_k	ʊ̰	ʊ̰	creaky_rounded_near-close_near-back_vowel
E::	ɛːː	ɛːː	ultra-long_unrounded_open-mid_front_vowel
l_d=	l̪̩	l̪̩	syllabic_voiced_dental_lateral_approximant_consonant
f_>	fʼ	fʼ	voiceless_labio-dental_ejective_fricative_consonant
^3^4^5	³⁴⁵	³⁴⁵	contour_from-mid_via-mid-high_to-high_tone
r_d0	r̪̥	r̪̥	devoiced_voiced_dental_trill_consonant
t_d_$h;	t̪ʰʲ	t̪ʰʲ	palatalized_aspirated_voiceless_dental_stop_consonant
ɨ:	ɨː	ɨː	long_unrounded_close_central_vowel
D_o	ð̞	ð̞	voiced_dental_approximant_consonant
N_w	ŋʷ	ŋʷ	labialized_voiced_velar_nasal_consonant
b0	b̥	b̥	devoiced_voiced_bilabial_stop_consonant
o_o	o̞	o̞	rounded_mid_back_vowel
^4^5^3	⁴⁵³	⁴⁵³	contour_from-mid-high_via-high_to-mid_tone
l=	l̩	l̩	syllabic_voiced_alveolar_lateral_approximant_consonant
tS_$h	tʃʰ	tʃʰ	aspirated_voiceless_post-alveolar_sibilant_affricate_consonant
}~:	ʉ̃ː	ʉ̃ː	long_nasalized_rounded_close_central_vowel
B\=	ʙ̩	ʙ̩	syllabic_voiced_bilabial_trill_consonant
m_$h	mʰ	mʰ	aspirated_voiced_bilabial_nasal_consonant
tS_>:	tʃʼː	tʃʼː	long_voiceless_post-alveolar_ejective_sibilant_affricate_consonant
^3^1^4	³¹⁴	³¹⁴	contour_from-mid_via-low_to-mid-high_tone
z0	z̥	z̥	devoiced_voiced_alveolar_sibilant_fricative_consonant
G_0	ɣ̊	ɣ̊	devoiced_voiced_velar_fricative_consonant
s=	s̩	s̩	syllabic_voiceless_alveolar_sibilant_fricative_consonant
3\_o	ɞ̞	ɞ̞	rounded_near-open_central_vowel
^2^1^5	²¹⁵	²¹⁵	contour_from-mid-low_via-low_to-high_tone
b;	bʲ	bʲ	palatalized_voiced_bilabial_stop_consonant
n=	n̩	n̩	syllabic_voiced_alveolar_nasal_consonant
S_>	ʃʼ	ʃʼ	voiceless_post-alveolar_ejective_sibilant_fricative_consonant
^3^2^5	³²⁵	³²⁵	contour_from-mid_via-mid-low_to-high_tone
